run_ts_utc,experiment_name,model,feature_set,logloss,accuracy,macro_f1,home_recall,draw_recall,away_recall
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,xgb,market_plus_understat_xg,0.978331,0.530325,,,,
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,mlp,market_plus_understat_xg,0.979851,0.526627,,,,
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,xgb,market_context_plus_understat_xg,0.976776,0.531805,,,,
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,mlp,market_context_plus_understat_xg,0.977056,0.533284,,,,
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,xgb,no_market,0.993727,0.514793,,,,
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,mlp,no_market,1.05658,0.423817,,,,
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,xgb,no_elo,0.982504,0.535503,,,,
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,mlp,no_elo,0.996286,0.505917,,,,
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,xgb,no_xg,0.982185,0.54068,,,,
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,mlp,no_xg,0.984309,0.526627,,,,
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,xgb,no_momentum,0.980605,0.531065,,,,
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,mlp,no_momentum,0.993124,0.512574,,,,
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,xgb,no_rest,0.980518,0.535503,,,,
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,mlp,no_rest,0.989978,0.515533,,,,
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,xgb,no_form,0.98151,0.536243,,,,
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,mlp,no_form,0.992112,0.502219,,,,
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,xgb,model_only,0.99935,0.508876,,,,
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,mlp,model_only,1.020747,0.507396,,,,
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,xgb,market_only,0.976951,0.534763,,,,
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,mlp,market_only,1.031649,0.473373,,,,
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,xgb,market_plus_context,0.97613,0.531065,,,,
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,mlp,market_plus_context,0.981549,0.534763,,,,
2026-04-27T10:58:45.866301+00:00,baseline_xgboost_v3_formpoints,xgb,all_features,0.979144,0.54068,,,,
2026-04-27T10:58:45.866301+00:00,baseline_xgboost_v3_formpoints,mlp,all_features,1.003188,0.504438,,,,
2026-04-27T10:58:45.866301+00:00,baseline_xgboost_v3_formpoints,xgb,core_18,0.979826,0.539201,,,,
