run_ts_utc,experiment_name,train_cut,test_cut,test_end,model,logloss,accuracy,macro_f1,home_recall,draw_recall,away_recall,home_precision,draw_precision,away_precision,bets,hit_rate,roi,profit,avg_odds,winner_logloss,winner_roi
2026-05-08T13:30:12.852974+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,base,0.996807,0.515566,,,,,,,,984,26.626,-9.4032,-1.9068,4.1482,0,0
2026-05-08T13:30:12.852974+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,market,0.973684,0.537585,,,,,,,,0,0.0,0.0,0.0,0.0,1,0
2026-05-08T13:30:12.852974+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,meta,0.981455,0.525437,,,,,,,,929,27.5565,-2.6863,-0.3808,3.98,0,0
2026-05-08T13:30:12.852974+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,logreg,0.978086,0.528474,,,,,,,,1164,34.8797,-1.149,-0.2178,3.4291,0,0
2026-05-08T13:30:12.852974+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,mlp,0.978063,0.525437,,,,,,,,998,29.1583,2.034,0.323,4.0246,0,1
2026-05-08T13:30:12.852974+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,ensemble,0.973684,0.537585,,,,,,,,0,0.0,0.0,0.0,0.0,0,0
2026-05-11T12:44:34.118924+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,base,0.99526,0.51494,,,,,,,,1206,27.6949,-5.9519,-1.4709,4.098,0,0
2026-05-11T12:44:34.118924+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,market,0.975365,0.53719,,,,,,,,0,0.0,0.0,0.0,0.0,1,0
2026-05-11T12:44:34.118924+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,meta,0.979294,0.535919,,,,,,,,1086,31.2155,0.8451,0.1487,3.7638,0,1
2026-05-11T12:44:34.118924+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,logreg,0.977604,0.529561,,,,,,,,1070,32.9907,0.3967,0.049,3.656,0,0
2026-05-11T12:44:34.118924+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,mlp,0.980066,0.523204,,,,,,,,1226,28.956,0.4069,0.0801,4.0291,0,0
2026-05-11T12:44:34.118924+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,ensemble,0.975365,0.53719,,,,,,,,0,0.0,0.0,0.0,0.0,0,0
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,base,0.99526,0.51494,,,,,,,,1206,27.6949,-5.9519,-1.4709,4.098,0,0
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,market,0.975365,0.53719,,,,,,,,0,0.0,0.0,0.0,0.0,1,0
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,meta,0.979294,0.535919,,,,,,,,1086,31.2155,0.8451,0.1487,3.7638,0,1
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,logreg,0.977604,0.529561,,,,,,,,1070,32.9907,0.3967,0.049,3.656,0,0
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,mlp,0.980066,0.523204,,,,,,,,1226,28.956,0.4069,0.0801,4.0291,0,0
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,ensemble,0.975365,0.53719,,,,,,,,0,0.0,0.0,0.0,0.0,0,0
2026-05-11T13:43:46.529607+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,base,0.99526,0.51494,,,,,,,,1206,27.6949,-5.9519,-1.4709,4.098,0,0
2026-05-11T13:43:46.529607+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,market,0.975365,0.53719,,,,,,,,0,0.0,0.0,0.0,0.0,1,0
2026-05-11T13:43:46.529607+00:00,final_market_xg_comparison,2024-07-01,2025-07-01,,meta,0.979294,0.535919,,,,,,,,1086,31.2155,0.8451,0.1487,3.7638,0,1
